f;ux;uy;p;phase
0;1.15167340799e-42;2.99800793114e-06;25;3.14159265359
7;1.15587909762e-42;2.99458755918e-06;25;3.08811464965
9;1.15860759861e-42;2.99236055186e-06;25;3.07286455106
11;1.1619984006e-42;2.98958420582e-06;25;3.05763632332
14;1.16829756941e-42;2.98440062447e-06;25;3.03484528811
18;1.17887549362e-42;2.97561980061e-06;25;3.0045770668
24;1.1990897513e-42;2.95857061062e-06;25;2.95950230399
30;1.2239592287e-42;2.93710046756e-06;25;2.9149161499
38;1.26314056574e-42;2.90213079887e-06;25;2.85638237311
49;1.32560578476e-42;2.84341532819e-06;25;2.77783777294
62;1.40841922427e-42;2.76015198842e-06;25;2.68861767377
79;1.52118402946e-42;2.63506968495e-06;25;2.57844945724
101;1.66110774784e-42;2.45582848811e-06;25;2.4484448092
128;1.80042604399e-42;2.22958932586e-06;25;2.30924879445
164;1.92566232624e-42;1.94743224819e-06;25;2.15623776624
208;2.00941309904e-42;1.65506514911e-06;25;2.00900216561
265;2.0440279669e-42;1.3587004954e-06;25;1.86353081188
338;2.00723941894e-42;1.07996087037e-06;25;1.72861627867
431;1.93741638873e-42;8.48840031385e-07;25;1.60358478144
549;1.81863530338e-42;6.45462022043e-07;25;1.477428549
700;1.6835026434e-42;4.72560181533e-07;25;1.36606947826
